id,text
1265574067849003014,"RT @ShibaniMahtani: Dozens of kids — literally kids — being dragged away one by one, handcuffed. Again the press is held back by orange tap…"
1265574067849101315,@Odunadekolade Buy clothes #ChildrensDayWithQueenTolu
1265574067844927490,RT @encikmatahari: i can be both lmaooo depends on my mood
1265574067836502017,@RealKenBruce Smokey Robinson track you’re playing now could be the Boris/Dominic love-in soundtrack 😂😂
1265574067861622784,RT @xcxstkcs: i'm sorry but this is THE shittest genre of music
1265574067861626881,"@bitpanda Yes, if you can get yourself verified 😂😂"
1265574067836530690,@StewartPinner1 @Marshal_P_Knutt @SWP_Britain You know exactly who I’m talking about. A poorly kept secret at Man C… https://t.co/srhtep9ewB
1265574067861667841,"RT @HSW_officialtwt: [☁]
⠀
HA SUNG WOON
3rd MINI ALBUM
⠀
&lt;Twilight Zone&gt; Track List
⠀
2020. 06. 08 6PM (KST)
RELEASE
⠀
#하성운 
#HASUNGWOON
#T…"
1265574067857436680,RT @theworthlessdol: This games fun #BAStopThinkAgain #BArebellion #backinthehold #BAbetreyal https://t.co/3cw3phVDKN
1265574067853316096,RT @Tawandus: Will got shot and Carlton bought a gun the next day
1265574067865878529,"@Justine_en I thought I put ""😭"" ... That was a mistake pls. Sorry if that offended you... I totally against police… https://t.co/j877EPEmZV"
1265574072035037185,RT @Maryamhasnaa: What a difference a year makes. https://t.co/FmVxYN1LE6
1265574072039194632,RT @cocochanbaek: Same floor????????? 😳 https://t.co/sWooR6keSN
1265574072051740673,RT @SuhaskumarV: Erasing the Buddha relic found in Ayodhya (Saket) is an unpardonable offense as per Archaeological Acts 1958 and 1972 Act.…
1265574072051732480,"RT @2d_ent: #kattupayale Song from #sooraraipottru Tomorrow 10 Am
.

@suriya_offl #sudhakongara #Gvprakash @Aparnabala2 @guneetm @SakthiFil…"
1265574072064380942,RT @bffjeongguk: i think we can agree that bts artists https://t.co/RedVbXg9L0
1265574072026566658,RT @400flux: I AM LOOKING DISRESPECTFULLY https://t.co/ntlDKgqs9U
1265574072056008705,RT @imanopie: why are so many people going out and meeting their friends :// the pandemic is still going on and its so irresponsible :(
1265574072043307009,RT @ztothek: Sana did it 💜💜💜👍👍👍 https://t.co/QRRUPg0vXw
1265574072035016705,"RT @ray_dango: Magic Show

Magician Miku outfit based.

#Corrin #Kamui #FireEmblem https://t.co/5x93T6WEEZ"
1265574072030822402,@jisungpix Where is this jisung from
1265574072055926784,"RT @ALEISHA_333: They literally tried moving closer to each other when they where as close as they could get 🥺🥺
#adBxUnicefxMewGulf

 https…"
1265574072060203011,Great series's😞. https://t.co/3D6IiQUMS8
1265574072047599618,KHCHENLE = KING HEAD CHENLE!? https://t.co/J1IUvWaIzQ
1265574076220932096,RT @kimjenknee: THEY LOOK SO PERFECT WHEN THEY ARE TOGETHER https://t.co/p45lGXDOxk
1265574076258664448,"RT @allkpop: Red Velvet's Yeri &amp; TWICE's Nayeon surprise fans on Instagram live
https://t.co/kW6ii86M6P https://t.co/6cNHMmFx3h"
1265574076254490624,RT @kksteffany: Same city: very different responses. It’s not lost on us as to why. https://t.co/oGTpV0XIyZ
1265574076225110022,"@ishqqnx Tried, no luck."
1265574076233506820,"RT @4ljn23: 200527 jeno 🐶

op asked jeno to play rock, paper, scissors with them and if jeno loses he has to post a selfie on bubble~ jeno…"
1265574076246040576,RT @bkutosan_: @noyaloveme we also have this😗🤩 https://t.co/z60CyagUi7
1265574076241846272,RT @theendd___: Thou he is not lucky in his marriage. Chef Wan has pledge in front of the kadi to take care of his ex-wife after divorce un…
1265574076225126402,@newalija Sweet love
1265574076241850375,"RT @WayneDupreeShow: Breaking: All four officers involved in fatal arrest of black man have just been fired 

https://t.co/sa9wB0E2fs"
1265574076225126409,"SO THE LYRICS ""IGH"" IN LAY'S JADE WAS ACTUALLY JADE IN ENGLISH TRANS😶😶okay sorry i just get to know it🤡 https://t.co/uFbVzsPaF1"
1265574076258619392,"RT @mca_music: THIS IS POWERFUL. @ladygaga @ygofficialblink 
Fan art by talented @jouskapo

#CHROMATICA is COMING
#SourCandy #GAGAPINK #BLA…"
1265574076254507008,@thezainabonuh_ Thank you 🥰
1265574080423637002,"RT @aproko_doctor: So Cynthia Morgan lied?

The easiest way to get Nigerians on your side is to tell an emotional story and sprinkle some t…"
1265574080440393729,FAGGOTS BE LIKE WHO WANT THE SMOKE?? LOL KEEP IT THERES PLENTY IN HELL
1265574080436150273,RT @siwonchoi: What is your challenge today? https://t.co/iRTaJf8kp9
1265574080415174656,@PI3RCE__ Add me
1265574080431951873,@Celtic1967_com Compper
1265574080427761678,RT @SoIaireDeAstora: @MrFlersh cant wait for the nword to slip out
1265574080436199425,RT @GraysonDolan: Your gut is always right
1265574080444538882,one person followed me // automatically checked by https://t.co/AEcEBAqcqU
1265574080452927488,RT @NateHipHopHead: Men are not complicated. He’s not investing in you because you’re not worth it to him. He’s not chasing you because he…
1265574080448782337,@BrokenEnglish19 @mvelo_enhleSA @MbuyiseniNdlozi I thought your making a statement from a matured political point o… https://t.co/l8MfDbbC9K
1265574080419442694,"RT @jaboukie: i find it amazing how many people On Here were born in a racist, islamophobic, misogynistic, classist, colorist, transphobic,…"
1265574080436211714,"What if he had killed a white man? The consequences meted for killing any person be it black, yellow or white shoul… https://t.co/d5EyIFxVDn"
1265574080415248390,RT @pheyikayomi23: Your colour statement catching🔥👕
1265574084613734407,"RT @screenx_kr: **Korea is the first country to release &lt;Eyes On Me : The Movie&gt; .
We will announce the global release date as soon as it's…"
1265574084609540099,one person followed me // automatically checked by https://t.co/MKF7IPhXrd
1265574084630450177,RT @beautria: tiffany has always shown support for the asian-american community https://t.co/sw7ojhSlRE
1265574084634697728,@Kashaffii Main abhi deta hon TBH apko or hand written note bhi 🌸🌸
1265574084634607617,RT @benedictrogers: This is the final nail in the coffin for Hong Kong’s autonomy https://t.co/UcbwkplSUR
1265574084634652673,RT @yoongisfirst: I made my own physical AGUST D-2 album 😗✌️ https://t.co/AeBKy3PTNP
1265574084613681153,"RT @drabbas1935: As Nation builder

Nehru ji developed PSUs

As National Wealth for strengthening future India!

WHICH MODI NOW SELLING OUT…"
1265574084647280644,"RT @imcruzarj: if i’m weird with you, i’m comfortable with you"
1265574084630495233,"@VodafoneIN Tq for responding, my vodafone number is 8886268281, from morning I could not able to access internet.… https://t.co/6olj5Ua2fu"
1265574084643078146,RT @HipHopxHotspot: Tory Lanez | Say It https://t.co/lqWWRaag3H
1265574088808058882,"jikook pls comeback home, jikookers are going insane 😭😭"
1265574088824754177,RT @RileyChaux: Razor bumps suck https://t.co/aqQsIjmOSA
1265574088816373767,"RT @sujuonthisday: On this day, May 27th, fourteen years ago, @SJofficial's Kyuhyun made his performance debut as a member of #SUPERJUNIOR…"
1265574088824815621,"RT @RussInCheshire: The week in Tory (Cummings special):

1. Dominic Cummings, one of the few men to have ever been found in contempt of Pa…"
1265574088816365572,Bottoms up
1265574088808050691,RT @praveenswami: Look in the mirror. That’s who is responsible for this. https://t.co/6SXtE8gERc
1265574088824819713,RT @SOLARlTY: the lack of jimin is giving me brain damage
1265574088833204228,RT @justicemachaba: Country style mixed with modern design. https://t.co/3aMrT9HZ8U
1265574088812253184,"RT @Pratham36888593: #ASI_साकेत_पर_चुप_क्योंक्यों

All the ancient temples is india 
These are buddhist caves
And buddha vihar"
1265574088841596928,@4949ISay Congs
1265574088841576452,"RT @_0wshitness: i always whisper ""tangina"" in my head."
1265574088837337091,"RT @djjimmyjatt: Rest on Sam Loco #SamLocoDay 

How many retweets can this veteran get 🙏❤️ https://t.co/VWAHzPtvC7"
1265574088837402633,"RT @studioincendo: Some more photos of #hongkongprotests at Central today 

CC BY 4.0 https://t.co/gLLQimX4yq"
1265574088824762369,@blcksunkiss Strawbana is such a cute crack ship
1265574088812175360,Bro Sony just copyright striked themselves wtf
1265574088824717313,RT @Shawne_MF_T: @TheRightMelissa @RealCandaceO @TimRunsHisMouth You and @RealCandaceO  may want to just sit this one out sis...maybe get t…
1265574093002289152,It's been 95602 minutes since 03/22/2020
1265574093014917122,RT @GorselSl: Sunset...⛅️ https://t.co/NP5hcioFVL
1265574093023297538,"RT @_giwasegun: If anyone tags me on any beardless guys happy childrens day post again , I'd just block you I have to protect my menta helt😂"
1265574093002346500,RT @ultmyouimina: this namo tiktok having 56k likes 😭 https://t.co/8fZB1HKQlg
1265574093031641088,RT @eliahvintonn: tired of being single
1265574093019119617,@littlejsungp Ltr i dm you ya
1265574093006483456,@Mlickles We just need a return to the Sonic Rush series. Blaze is so cool.
1265574093031702528,@MathurVipnesh @news24tvchannel Very beautiful
1265574093027500032,RT @SollyBandz_: They Going Crazy In Minneapolis Rn💯👏🏾 #ICantBreathe #GeorgeFloyd #BlackLivesMatter https://t.co/6efmPeDMa1
1265574093019123714,@SKYserves Can you please respond to my DM? We haven't had internet for hours now. Is there an issue in the San Andres area?
1265574093035917315,RT @bbrightvc: @BFB_CNFC thank you for your supporting kub🤍
1265574093023313920,RT @etherealkdrama: lee ji eun as your girlfriend https://t.co/ly1WQ5lDZ0
1265574093035835393,@bregas_m @yuubarom Asem https://t.co/ka6NVEDrfi
1265574093027409922,@RealMiniToon hey is it me or did someone figure out the true ending .-. https://t.co/iQ8YbWRY9t
1265574097209212928,"RT @katherine9609: For anyone who’s waiting for their refund from Wizzair, I’ve received mine today after 64 days. Just giving a little hop…"
1265574097217622023,WINWIN😭
1265574097230147590,RT @OfficialPLT: feels 😂😂😂 https://t.co/bsGuFAdKg6
1265574097230204929,choked
1265574097200787467,"RT @WJSNDAILY: [TRANS] 200527 #WJSN IG story update 

Practicing for 200609 WJSN comeback. Look forward to it! 

#우주소녀 https://t.co/gE3B2eF…"
1265574097209241600,"RT @candyforbaek: papago when baek         papago when baek
is not online                     is online https://t.co/J4tHRdbxCH"
1265574097209221123,RT @minspolaris: gagman minhyun i love him so much hes a DORK https://t.co/UicaBtEwo0
1265574097200844803,RT @ryanlongcomedy: Vice Magazine just fired hundreds of writers... One of them speaks out. https://t.co/wRkYuqF5Jf
1265574097230200832,RT @YouGiveMeFever7: If we refuse to install government that hold police murderers accountable for their actions then this will just be the…
1265574097204977666,"@RealSteveCox ""Complete and thorough investigation""

Code for drag the case on so we can exonerate him when no one is looking"
1265574097226027015,RT @espanyakiddo: game? keep your accs in public lol 😉 #alter #alterph #alterpinoy #jakol #bagets #daks https://t.co/t6NwiDhngo
1265574097192464392,"RT @gayrotismoXXX: Coach Got A Boner

Spencer Fox @SpencerF_PS
Sebastian Keys @XXXMrKeysXXX
Ricky Sinz
Rafael Alencar @RAFAELALENCAR 
Tony…"
1265574097196646401,I honestly think Michael Gove might be the person I hate most
1265574097213423618,@adamboultonSKY seems you’re being hit by the bots...
1265574097230221314,Wind may bring swarm of locusts from Jaipur to Delhi https://t.co/7uUwCszKdf via @TOIDelhi https://t.co/T16gxfz2Ff
1265574101386657793,I’m all mention .
1265574101395156992,"@MasSoloQueAmumu No one:
My mind at 11 am"
1265574101399330816,RT @gabrieloguda: That hot topic on police brutality in the US has reminded me of this book I had started reading but dropped halfway. This…
1265574101420257285,"RT @Morris_Monye: Racism is real! This is 2020. I can't believe we are still having this conversation.

Just look at this. Just look at.…"
1265574101395136515,RT @WhiteHouse: LIVE: POTUS Delivers Remarks at Ford Rawsonville Components Plant https://t.co/n9lFMmd6eV
1265574101403537409,RT @bffjeongguk: i think we can agree that bts artists https://t.co/RedVbXg9L0
1265574101395091460,"@BeachsideWriter Miller has clarified that he wasn't alluding to any particular incident. Neither was I, just to be… https://t.co/3SVYGjYdda"
1265574101416136706,"@1queenb2010 it made me cry.. no one deserves that treatment, breaks my heart that stuff like this still happens in 2020😔"
1265574101411868674,We have sense.
1265574105618821120,@moon_labyrinth it's from onlyoneof??
1265574105597775874,"RT @TKRblx5: Clothing commissions are open! DM me! 

#roblox #robloxclothing #RobloxDev #coronavirus #gamedev #gaming #commissionsopen http…"
1265574105593643010,RT @wizkidayo: Soul with someone else ✨
1265574105593581568,RT @elonmusk: Sunset https://t.co/fpLhlqvuJg
1265574105610420225,im tryna go on a date
1265574105580961793,It’s ridiculous how cold Aliwal is!
1265574105606230016,"RT @JROME50796063: Today is Monday. And a new week began again.#HappyNewWeek
How is everyone today?
I wish you all peace and health..
Even…"
1265574105593626625,"@HaramainInfo Aameen 
May Allah s.w.t bless you Imam sahb for the dua for us. Aameen"
1265574105593634819,@ShepJackBlack no it was a scrawny asian gg
1265574105593585665,"RT @manirenee_: Wade dying his hair pink makes y’all question his sexuality, but Chris Brown done dyed his hair every color of the rainbow…"
1265574105585258496,RT @qtpiebyunbaek: anyways look at my mid translation spree attempt LOLOLOL i really wanna know how that hashtag came about in candyteam!!!…
1265574105602052098,"RT @armysstruggles: Hoseok's Tear fancam @BTS_twt , is today the most viewed fancam on  Twitter history with 11M++ views !  
 https://t.co/…"
1265574105610432512,"@hopladihoplada @OzRevealed 1) [They] would probably say that (""stupid"") about all, who 'thought it to be too obvio… https://t.co/OJbQIhBc6I"
1265574105589350401,@afohfrankjunior @Kingsleyekane16 Nobi me and you dey this twitter wey anon dey credit people akant dey buy expensi… https://t.co/9fVx975T9h
1265574105597739008,"#CycloneAmphan -- Bengal picks up the pieces: Special report from Kolkata.

Watch #NewsEpicentre with @maryashakil… https://t.co/7AkMLyN4Xj"
1265574109775302657,"Spread kindness, knowledge, and kink..."
